ID,OrganizationName,OrganizationType,Address,Address2,City,State,ZipCode,OrgPhone,PCUseRestrictions,HardwarePublic,AssistiveTechnology,InternetUpload,InternetDownload,VolunteersUsed,VolunteersUsedHow,VolunteersWantedHow,Longitude,Latitude,PublicWiFiDetail,NearestParking,NearestParkingDetail,HandicapAccessDetail,PublicTransportationDetail,TimeAllowedPerUser,TimeAllowedPerUserDetail,RoomList,Hours,WEBSITE,HOURS,APPOINTMENT,INTERNET,WIFI,TRAINING
1152,MLK Boys & Girls Club YCDC,YCDC,2950 W. Washington Blvd.,  ,Chicago,IL,60612,111-111-1111,  ,  ,  ,  ,  ,  ,  ,  ,-87.7007017,41.8830661,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1153,Saint Sabina Employment Resource Center,WorkNet Chicago,7909 S. Racine,  ,Chicago,IL,60620,773-783-3760,  ,  ,  ,  ,  ,  ,  ,  ,-87.6536886,41.7503081,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1154,The Beloved Community/St. Sabina YCDC,YCDC,7909 S. Racine,  ,Chicago,IL,60620,773-783-3760,  ,  ,  ,  ,  ,  ,  ,  ,-87.6536886,41.7503081,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1155,Community Assistance Program,YCDC,11444 S. Halsted,  ,Chicago,IL,60628,111-111-1111,  ,  ,  ,  ,  ,  ,  ,  ,-87.6423929,41.6861527,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1156,Association House,YCDC,1116 N. Kedzie,  ,Chicago,IL,60651,111-111-1111,  ,  ,  ,  ,  ,  ,  ,  ,-87.7068317,41.9013272,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1157,Altgeld Gardens/Phillip Murray Homes,Chicago Housing Authority,951 E. 132nd Place,  ,Chicago,IL,60627,773-928-4116,No Food or drinks in the lab. No social media sites or games allowed. Children must be accompanied by an adult.,36,  ,Upload: 3.85mbps Download:39.88mbps,  ,no,  ,  ,-87.5965672,41.658957,  ,Free,Parking lot is out front and available,"There are handicap computers in the lab and a ram however, the outside doors are not handicap accessible.",Bus stop within walking distance,unlimited,  ,  ,"Monday 8AM - 5PM 

Tuesday 8AM - 5PM 

Wednesday 8AM - 5PM 

Thursday 8AM - 5PM 

Friday 8AM - 5PM ",,,,,,
1158,Bridgeport Homes,Chicago Housing Authority,844 West 32nd Street,  ,Chicago,IL,60608,111-111-1111,  ,  ,  ,  ,  ,  ,  ,  ,-87.6480658,41.8365469,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1159,ABLA Homes,Chicago Housing Authority,1254 S. Loomis,  ,Chicago,IL,60608,111-111-1111,  ,  ,  ,  ,  ,  ,  ,  ,-87.6617082,41.865442,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1160,Dearborn Homes,Chicago Housing Authority,2910 S Dearborn,  ,Chicago,IL,60616,312-225-0130,No Food or drinks in the lab. No social media sites or games allowed. ,28,Monitors for visually impaired - 24 inch,3.85mbps,39.88mbps,no,  ,  ,-87.6282323,41.8419464,  ,  ,  ,  ,  ,  ,  ,  ,"Monday 9am-5pm 

Tuesday 9am-5pm 

Wednesday 9am-5pm 

Thursday 9am-5pm 

Friday 9am-5pm ",,,,,,
1161,Lawndale Gardens,Chicago Housing Authority,2527 S. California,  ,Chicago,IL,60608,111-111-1111,  ,  ,  ,  ,  ,  ,  ,  ,-87.6952209,41.8459969,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1162,Wentworth Gardens,Chicago Housing Authority,3759 S. Wentworth,  ,Chicago,IL,60609,111-111-1111,  ,  ,  ,  ,  ,  ,  ,  ,-87.6313428,41.8258267,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1163,National Able,Workforce Centers,567 West Lake St,  ,Chicago,IL,60661,312-994-4208,"Restrict inappropriate websites like youtube, pandora, etc. No food or drink in lab or classroom",5,Not at this location,10mb,10mb,no,  ,  ,  ,  ,Open,Paid,"Metered, outside of building","Doors and Elevators, Classrooms are Handicap accessible, no ADA desks","CTA, Green Line and Pink Like, Union Station",Timed,Classroom Session,  ,"Monday 8:00am-4:30pm 

Tuesday 8:00am-4:30pm 

Wednesday 8:00am-4:30pm 

Thursday 8:00am-4:30pm 

Friday 8:00am-4:30pm ",,,,,,
,Greater Auburn Gresham Development Corporation,Business Resource Network,1159 W. 79th Street,,Chicago,IL,60620,(773) 483-3696,,,,,,,,,,,,,,,,,,,,http://www.auburngreshamportal.org,M-F 9a- 5P,yes,TRUE,TRUE,TRUE
,Greater Southwest Development Corporation,Business Resource Network,2601 W. 63rd Street,,Chicago,IL,60629,(773) 436-1000 x. 106,,,,,,,,,,,,,,,,,,,,http://www.chicagolawnportal.org,M-F 9a- 5P,yes,TRUE,FALSE,TRUE
,Instituto Del Progreso,Business Resource Network,2570 S. Blue Island,,Chicago,IL,60608,(773) 890-0055 x. 291,,,,,,,,,,,,,,,,,,,,http://www.pilsenportal.org/www.idpl.org,M-F 9a -5p,yes,TRUE,TRUE,TRUE
,West Humboldt Park Community Development Council,Business Resource Network,3620 W. Chicago Ave,,Chicago,IL,60657,(773) 342-0036,,,,,,,,,,,,,,,,,,,,http://www.humboldtparkportal.org,M-F 9a- 5P,yes,TRUE,TRUE,TRUE
,Albany Park,Chicago Public Library,5150 N. Kimball Avenue,,Chicago,IL,60625,(312) 744-1933,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/albany-park/,"M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,TRUE
,Altgeld,Chicago Public Library,13281 S. Corliss Avenue,,Chicago,IL,60827,(312) 747-3270,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/altgeld/,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,FALSE
,Archer Heights,Chicago Public Library,5055 S. Archer Avenue,,Chicago,IL,60632,(312) 747-9241,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/archer-heights/,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,FALSE
,Austin,Chicago Public Library,5615 W. Race Avenue,,Chicago,IL,60644,(312) 746-5038,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/austin/,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,FALSE
,Austin-Irving,Chicago Public Library,6100 W. Irving Park Road,,Chicago,IL,60634,(312) 744-6222,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/austin-irving/,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,FALSE
,Avalon,Chicago Public Library,8148 S. Stony Island Avenue,,Chicago,IL,60617,(312) 747-5234,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/avalon/,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,TRUE
,Beverly,Chicago Public Library,1962 W. 95th Street,,Chicago,IL,60643,(312) 747-9673,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/beverly/,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,FALSE
,Bezazian,Chicago Public Library,1226 W. Ainslie Street,,Chicago,IL,60640,(312) 744-0019,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/bezazian/,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,FALSE
,Blackstone,Chicago Public Library,4904 S. Lake Park Avenue,,Chicago,IL,60615,(312) 747-0511,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/blackstone/,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,TRUE
,Brainerd,Chicago Public Library,1350 W. 89th Street,,Chicago,IL,60620,(312) 747-6291,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/brainerd/,"M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,TRUE
,Brighton Park,Chicago Public Library,4314 S. Archer Avenue,,Chicago,IL,60632,(312) 747-0666,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/brighton-park/,"M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,TRUE
,Bucktown-Wicker Park,Chicago Public Library,1701 N. Milwaukee Avenue,,Chicago,IL,60647,(312) 744-6022,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/bucktown-wicker-park/,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,FALSE
,Budlong Woods,Chicago Public Library,5630 N. Lincoln Avenue,,Chicago,IL,60659,(312) 742-9590,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/budlong-woods/,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,FALSE
,Canaryville,Chicago Public Library,642 W. 43rd Street,,Chicago,IL,60609,(312) 747-0644,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/canaryville/,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,TRUE
,Chicago Bee,Chicago Public Library,3647 S. State Street,,Chicago,IL,60609,(312) 747-6872,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/chicago-bee/,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,TRUE
,Chicago Lawn,Chicago Public Library,6120 S. Kedzie Avenue,,Chicago,IL,60629,(312) 747-0639,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/chicago-lawn/,"M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,TRUE
,Chinatown,Chicago Public Library,2353 S. Wentworth Avenue,,Chicago,IL,60616,(312) 747-8013,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/chinatown/,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,TRUE
,Clearing,Chicago Public Library,6423 W. 63rd Place,,Chicago,IL,60638,(312) 747-5657,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/clearing/,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,FALSE
,Coleman,Chicago Public Library,731 E. 63rd Street,,Chicago,IL,60637,(312) 747-7760,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/bessie-coleman/,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,TRUE
,"Daley, Richard J. - Bridgeport",Chicago Public Library,3400 S. Halsted Street,,Chicago,IL,60608,(312) 747-8990,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/daley/,"M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,TRUE
,"Daley, Richard M. - West Humboldt Park",Chicago Public Library,733 N. Kedzie Avenue,,Chicago,IL,60612,(312) 743-0555,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/daley-w-humboldt/,"M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,TRUE
,Douglass,Chicago Public Library,3353 W. 13th Street,,Chicago,IL,60623,(312) 747-3725,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/douglass/,"M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,FALSE
,Dunning,Chicago Public Library,7455 W. Cornelia Avenue,,Chicago,IL,60634,(312) 743-0480,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/dunning/,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,TRUE
,Edgebrook,Chicago Public Library,5331 W. Devon Avenue,,Chicago,IL,60646,(312) 744-8313,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/edgebrook/,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,FALSE
,Edgewater,Chicago Public Library,1210 W. Elmdale Avenue,,Chicago,IL,60660,(312) 744-0718,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/edgewater/,"M: Closed; TU-TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,TRUE
,Gage Park,Chicago Public Library,2807 W. 55th Street,,Chicago,IL,60632,(312) 747-0032,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/gage-park/,"M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,FALSE
,Galewood-Montclare,Chicago Public Library,6871 W. Belden Avenue,,Chicago,IL,60707,(312) 746-0165,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/galewood-mont-clare/,"M: 2PM-6PM; TU-TH: 10AM-6PM; F: 9AM-5PM; SA, SU: Closed",NA,TRUE,TRUE,FALSE
,Garfield Ridge,Chicago Public Library,6348 S. Archer Avenue,,Chicago,IL,60638,(312) 747-6094,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/garfield-ridge/,"M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,FALSE
,Greater Grand Crossing,Chicago Public Library,1000 East 73rd Street,,Chicago,IL,60619,(312) 745-1608,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/greater-grand-crossing/,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,TRUE
,Hall,Chicago Public Library,4801 S. Michigan Avenue,,Chicago,IL,60615,(312) 747-2541,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/hall/,"M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,TRUE
,Harold Washington-HWLC,Chicago Public Library,400 S. State Street,,Chicago,IL,60605,(312) 747-4300,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/harold-washington/,"M-TH: 9AM-9PM; F, SA: 9AM-5PM; SU: 1PM-5PM",NA,TRUE,TRUE,TRUE
,Hegewisch,Chicago Public Library,3048 E. 130th Street,,Chicago,IL,60633,(312) 747-0046,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/hegewisch/,"M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,FALSE
,Humboldt Park,Chicago Public Library,1605 N. Troy Street,,Chicago,IL,60647,(312) 744-2244,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/humboldt/,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,TRUE
,Independence,Chicago Public Library,3548 W. Irving Park Road,,Chicago,IL,60618,(312) 744-0900,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/independence/,"M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,FALSE
,Jefferson Park,Chicago Public Library,5363 W. Lawrence Avenue,,Chicago,IL,60630,(312) 744-1998,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/jefferson-park/,"M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,FALSE
,Jeffery Manor,Chicago Public Library,2401 E. 100th Street,,Chicago,IL,60617,(312) 747-6479,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/jeffery-manor/,"M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,TRUE
,Kelly,Chicago Public Library,6151 S. Normal Boulevard,,Chicago,IL,60621,(312) 747-8418,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/kelly/,"M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,TRUE
,King,Chicago Public Library,3436 S. King Drive,,Chicago,IL,60616,(312) 747-7543,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/king/,"M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,TRUE
,Legler,Chicago Public Library,115 S. Pulaski Road,,Chicago,IL,60624,(312) 746-7730,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/legler/,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,TRUE
,Lincoln Belmont,Chicago Public Library,1659 W. Melrose Street,,Chicago,IL,60657,(312) 744-0166,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/lincoln-belmont/,"M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,TRUE
,Lincoln Park,Chicago Public Library,1150 W. Fullerton Avenue,,Chicago,IL,60614,(312) 744-1926,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/lincoln-park/,"M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,FALSE
,Little Village,Chicago Public Library,2311 S. Kedzie Avenue,,Chicago,IL,60623,(312) 745-1862,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/little-village/,"M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,TRUE
,Logan Square,Chicago Public Library,3030 W. Fullerton Avenue,,Chicago,IL,60647,(312) 744-5295,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/logan-square/,"M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,TRUE
,Lozano,Chicago Public Library,1805 S. Loomis Street,,Chicago,IL,60608,(312) 746-4329,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/lozano/,"M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,TRUE
,Manning,Chicago Public Library,6 S. Hoyne Avenue,,Chicago,IL,60612,(312) 746-6800,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/mabel-manning/,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,TRUE
,Mayfair,Chicago Public Library,4400 W. Lawrence Avenue,,Chicago,IL,60630,(312) 744-1254,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/mayfair/,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,FALSE
,McKinley Park,Chicago Public Library,1915 W. 35th Street,,Chicago,IL,60609,(312) 747-6082,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/mckinley-park/,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,FALSE
,Merlo,Chicago Public Library,644 W. Belmont Avenue,,Chicago,IL,60657,(312) 744-1139,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/j-merlo-branch/,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,FALSE
,Mount Greenwood,Chicago Public Library,11010 S. Kedzie Avenue,,Chicago,IL,60655,(312) 747-2805,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/mt-greenwood/,"M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,FALSE
,Near North,Chicago Public Library,310 W. Division Street,,Chicago,IL,60610,(312) 744-0991,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/near-north/,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,TRUE
,North Austin,Chicago Public Library,5724 W. North Avenue,,Chicago,IL,60639,(312) 746-4233,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/north-austin/,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,TRUE
,North Pulaski,Chicago Public Library,4300 W. North Avenue,,Chicago,IL,60639,(312) 744-9573,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/north-pulaski/,"M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,FALSE
,Northtown,Chicago Public Library,6435 N. California Avenue,,Chicago,IL,60645,(312) 744-2292,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/northtown/,"M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,FALSE
,Oriole Park,Chicago Public Library,7454 W. Balmoral Avenue,,Chicago,IL,60656,(312) 744-1965,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/oriole-park/,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,TRUE
,Portage-Cragin,Chicago Public Library,5108 W. Belmont Avenue,,Chicago,IL,60641,(312) 744-0152,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/portage-cragin/,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,TRUE
,Pullman,Chicago Public Library,11001 S. Indiana Avenue,,Chicago,IL,60628,(312) 747-2033,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/pullman/,"M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,TRUE
,Roden,Chicago Public Library,6083 N. Northwest Highway,,Chicago,IL,60631,(312) 744-1478,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/roden/,"M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,FALSE
,Rogers Park,Chicago Public Library,6907 N. Clark Street,,Chicago,IL,60626,(312) 744-0156,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/rogers-park/,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,TRUE
,Roosevelt,Chicago Public Library,1101 W. Taylor Street,,Chicago,IL,60607,(312) 746-5656,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/roosevelt/,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,TRUE
,Scottsdale,Chicago Public Library,4101 W. 79th Street,,Chicago,IL,60652,(312) 747-0193,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/scottsdale/,"M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,FALSE
,Sherman Park,Chicago Public Library,5440 S. Racine Avenue,,Chicago,IL,60609,(312) 747-0477,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/sherman-park/,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,TRUE
,South Chicago,Chicago Public Library,9055 S. Houston Avenue,,Chicago,IL,60617,(312) 747-8065,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/south-chicago/,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,TRUE
,South Shore,Chicago Public Library,2505 E. 73rd Street,,Chicago,IL,60649,(312) 747-5281,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/south-shore/,"M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,TRUE
,Sulzer Regional,Chicago Public Library,4455 N. Lincoln Avenue,,Chicago,IL,60625,(312) 744-7616,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/sulzer-regional/,"M-TH: 9AM-9PM; F, SA: 9AM-5PM; SU: 1PM-5PM",NA,TRUE,TRUE,TRUE
,Thurgood Marshall,Chicago Public Library,7506 S. Racine Avenue,,Chicago,IL,60620,(312) 747-5927,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/thurgood-marshall/,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,TRUE
,Toman,Chicago Public Library,2708 S. Pulaski Road,,Chicago,IL,60623,(312) 745-1660,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/toman/,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,TRUE
